<<<<<<< HEAD
杨国强 -3.90292280859 -5.66802416465
专员 -4.70455515482 -5.66802416465
点缀 -5.4827064052 -4.96905416032
老前辈 -5.4827064052 -5.36699416899
成都队 -5.4827064052 -4.71378165522
哈克 -5.4827064052 -4.11172166389
迭戈 -5.4827064052 -4.2366604005
英才 -4.63760836519 -5.66802416465
高尔夫 -4.88064641388 -3.41760416235
可笑 -5.4827064052 -5.06596417333
铁路工人 -5.18167640954 -5.66802416465
市场萎缩 -5.4827064052 -5.06596417333
试低 -5.18167640954 -5.66802416465
略跌 -4.88064641388 -5.66802416465
徐林胤 -5.4827064052 -5.19090290993
业余比赛 -5.4827064052 -5.19090290993
国际泳联 -5.4827064052 -4.88987291427
头发 -5.4827064052 -4.76493417766
会聚 -5.18167640954 -5.66802416465
阿丁 -5.4827064052 -4.30629632864
备案制 -5.00558515048 -5.66802416465
松懈 -5.4827064052 -4.88987291427
设计师 -4.78373640087 -5.19090290993
暴风雨 -4.70455515482 -5.66802416465
冷思考 -4.78373640087 -5.19090290993
输油 -5.00558515048 -5.66802416465
潜能 -5.4827064052 -5.36699416899
备用 -5.00558515048 -5.36699416899
头号 -4.2274339001 -3.67238897006
反压 -4.88064641388 -5.66802416465
斗志昂扬 -5.4827064052 -5.36699416899
风雹 -5.00558515048 -5.66802416465
入场费 -4.70455515482 -5.66802416465
加内特 -5.4827064052 -2.64149090013
无声 -5.00558515048 -5.66802416465
九芝堂 -5.00558515048 -5.66802416465
商之 -5.18167640954 -5.66802416465
返航 -4.63760836519 -5.66802416465
风雨 -5.18167640954 -4.96905416032
节后 -4.63760836519 -5.66802416465
圣殿 -5.4827064052 -5.19090290993
安琪 -5.00558515048 -5.66802416465
丢掉 -5.4827064052 -4.36699416899
澳盘 -5.4827064052 -5.36699416899
留余地 -5.18167640954 -5.66802416465
经济学 -4.63760836519 -5.66802416465
误传 -5.18167640954 -5.66802416465
房产公司 -5.18167640954 -5.66802416465
台前 -5.00558515048 -5.19090290993
游人 -5.4827064052 -5.36699416899
支队 -5.4827064052 -5.19090290993
温州人 -5.00558515048 -5.66802416465
乌克兰 -5.00558515048 -4.22086613331
目视 -5.4827064052 -4.88987291427
名人录 -5.4827064052 -5.36699416899
提供援助 -4.63760836519 -5.66802416465
提至 -4.63760836519 -5.66802416465
荣辱 -5.18167640954 -5.66802416465
斯贝格 -5.4827064052 -5.19090290993
入侵 -4.88064641388 -5.66802416465
梦回 -5.4827064052 -4.52189612898
力度 -3.66979304856 -5.36699416899
激辩 -4.30661514615 -5.66802416465
举重 -5.4827064052 -4.3892705637
挪窝 -5.4827064052 -5.36699416899
两员 -5.4827064052 -4.71378165522
赡养 -5.18167640954 -5.66802416465
葫芦 -5.4827064052 -5.19090290993
铁水 -5.18167640954 -5.66802416465
两周 -4.27858642255 -4.55408081235
识途 -5.4827064052 -5.19090290993
总裁兼 -5.18167640954 -5.66802416465
出租率 -5.18167640954 -5.66802416465
蜜月 -4.78373640087 -5.36699416899
心理健康 -5.18167640954 -5.66802416465
废弃物 -5.18167640954 -5.66802416465
王姬 -5.18167640954 -5.66802416465
遇难 -4.20395280425 -5.06596417333
用电量 -5.18167640954 -5.66802416465
商业城市 -5.18167640954 -5.66802416465
娴熟 -5.4827064052 -5.06596417333
邹恒甫 -5.18167640954 -5.66802416465
运营 -3.90292280859 -5.06596417333
自保 -4.70455515482 -5.66802416465
泳姿 -5.4827064052 -5.36699416899
傅玉斌 -5.4827064052 -4.07695955763
德米凯利斯 -5.4827064052 -5.36699416899
一臂之力 -5.4827064052 -5.19090290993
挥去 -5.4827064052 -4.96905416032
扩面 -5.18167640954 -5.66802416465
贝内特 -5.4827064052 -4.2366604005
士气 -5.18167640954 -4.20562616676
患恐 -5.4827064052 -5.06596417333
中外 -4.33657836953 -4.463904182
半钟 -5.4827064052 -5.36699416899
离队 -5.4827064052 -3.96905416032
创兴 -4.30661514615 -5.66802416465
显现出 -5.18167640954 -5.66802416465
甘泉 -5.18167640954 -5.66802416465
自信 -4.52846389576 -3.53769039616
对掐式 -5.4827064052 -5.36699416899
受伤者 -5.4827064052 -5.19090290993
空气质量 -4.78373640087 -5.36699416899
提示性 -3.41824841598 -5.66802416465
一唱三叹 -5.4827064052 -5.36699416899
详式 -5.00558515048 -5.66802416465
帆板 -5.4827064052 -4.88987291427
纳瓦 -5.4827064052 -5.36699416899
指岛 -5.00558515048 -5.66802416465
并购 -3.42200856485 -5.66802416465
罗飞 -5.4827064052 -4.01481165088
牛皮 -4.78373640087 -5.36699416899
财产权 -5.18167640954 -5.66802416465
盘面 -4.78373640087 -4.96905416032
宁肯 -5.4827064052 -5.36699416899
遭夏 -5.18167640954 -5.66802416465
广播 -5.18167640954 -5.36699416899
上马 -5.18167640954 -5.66802416465
基蒂 -5.4827064052 -5.19090290993
坏账 -4.44131372005 -5.66802416465
数万元 -5.18167640954 -5.66802416465
尚可 -5.4827064052 -5.06596417333
北京市人民政府 -5.18167640954 -5.66802416465
窈窕淑女 -5.4827064052 -5.36699416899
沪深股市 -3.70455515482 -5.66802416465
卢琳妙 -5.4827064052 -5.19090290993
曾多次 -5.4827064052 -4.96905416032
欣喜若狂 -5.4827064052 -4.27008415598
冯上豹 -5.4827064052 -5.36699416899
鞍钢 -4.12097856919 -5.66802416465
猛力 -5.4827064052 -5.19090290993
勇敢者 -5.4827064052 -5.36699416899
契税 -4.88064641388 -5.66802416465
扣款 -5.18167640954 -5.66802416465
回升 -3.35560160684 -4.66802416465
广药三 -5.4827064052 -5.19090290993
密切合作 -5.18167640954 -5.66802416465
跨行 -4.63760836519 -5.66802416465
陆桥 -5.18167640954 -5.66802416465
召开 -2.84621850885 -4.02457148817
大于 -4.40352515916 -4.82292612464
传染 -4.70455515482 -4.71378165522
大事 -4.78373640087 -5.06596417333
妮娜 -5.4827064052 -4.17666247082
等等 -5.4827064052 -5.19090290993
坎普 -5.4827064052 -4.08824056804
精简 -5.4827064052 -5.19090290993
足竟 -5.4827064052 -5.36699416899
大五 -5.4827064052 -5.06596417333
税率 -4.70455515482 -5.66802416465
文山 -5.18167640954 -5.66802416465
木房 -5.18167640954 -5.66802416465
大亨 -4.88064641388 -5.19090290993
家电产品 -5.00558515048 -5.66802416465
伯尼 -5.4827064052 -4.6266314795
斩杀 -5.4827064052 -4.76493417766
泰山队 -5.4827064052 -5.36699416899
耀武扬威 -5.4827064052 -4.71378165522
喊价 -5.4827064052 -4.96905416032
注册地 -5.18167640954 -5.66802416465
特别 -3.59621568003 -4.19090290993
因斯 -5.4827064052 -4.6266314795
防二区 -5.4827064052 -5.19090290993
作鸟兽散 -5.4827064052 -5.19090290993
好感 -5.4827064052 -5.36699416899
自查自纠 -5.18167640954 -5.66802416465
偿还 -4.57961641821 -5.19090290993
多用途 -5.18167640954 -5.66802416465
大众日报 -5.4827064052 -4.96905416032
棋谱 -5.4827064052 -5.36699416899
特制 -5.4827064052 -4.30629632864
牛根生 -4.88064641388 -5.66802416465
尚差 -5.4827064052 -5.36699416899
蓝球 -5.4827064052 -3.91214930898
挪超汉 -5.4827064052 -5.19090290993
特刊 -5.18167640954 -5.66802416465
全英赛 -5.4827064052 -5.06596417333
输欧 -5.00558515048 -5.66802416465
违背 -5.00558515048 -5.36699416899
贸易额 -4.63760836519 -5.66802416465
悬河 -5.18167640954 -5.66802416465
赛卢兰 -5.4827064052 -5.36699416899
寻强 -5.18167640954 -5.66802416465
维京 -5.4827064052 -4.30629632864
经理助理 -5.18167640954 -5.66802416465
普拉西 -5.4827064052 -5.06596417333
更惨 -5.4827064052 -5.36699416899
可耻 -5.18167640954 -5.66802416465
定义 -5.00558515048 -5.19090290993
玻璃包装 -5.18167640954 -5.66802416465
出席 -4.25225748383 -3.66370279087
难显 -5.4827064052 -5.36699416899
突发性 -5.18167640954 -5.66802416465
大力士 -5.4827064052 -5.06596417333
偶尔 -5.4827064052 -5.36699416899
直塞 -5.4827064052 -5.36699416899
双牙 -5.4827064052 -5.06596417333
里程碑 -5.00558515048 -4.55408081235
布里奇 -5.4827064052 -5.19090290993
深套 -4.57961641821 -5.66802416465
星展 -4.4827064052 -5.66802416465
出师 -5.4827064052 -4.76493417766
发卡量 -5.18167640954 -5.66802416465
桑拿 -5.18167640954 -5.66802416465
末战 -5.4827064052 -3.84194936195
凯尔 -5.4827064052 -5.19090290993
必败 -5.4827064052 -5.06596417333
郭郭 -5.4827064052 -5.19090290993
洋溢 -5.4827064052 -4.3892705637
本人 -5.18167640954 -5.06596417333
闪光 -5.4827064052 -4.32560148383
妈妈 -4.33657836953 -4.82292612464
成坟 -5.4827064052 -5.36699416899
兴市 -5.4827064052 -5.36699416899
元凶 -4.57961641821 -5.66802416465
互相 -5.00558515048 -4.43757524328
四个坚持 -5.18167640954 -5.66802416465
帕努奇 -5.4827064052 -4.09982244059
桑塔 -5.4827064052 -5.36699416899
耍酷 -5.4827064052 -5.36699416899
一盘散沙 -5.4827064052 -5.19090290993
研究室 -5.4827064052 -5.19090290993
被淹 -4.88064641388 -5.66802416465
深长 -5.4827064052 -5.06596417333
轻装 -5.4827064052 -5.36699416899
滋味 -5.18167640954 -4.55408081235
有失公允 -5.4827064052 -5.19090290993
获世 -5.4827064052 -5.19090290993
全场 -5.4827064052 -3.06596417333
知情人 -5.4827064052 -4.96905416032
笨拙 -5.4827064052 -5.36699416899
欣然 -5.4827064052 -5.19090290993
绊脚石 -5.00558515048 -5.19090290993
愉快 -5.4827064052 -5.36699416899
评矿价 -5.18167640954 -5.66802416465
着眼点 -4.88064641388 -5.66802416465
修编 -5.18167640954 -5.66802416465
追施 -5.4827064052 -5.36699416899
疗养院 -5.4827064052 -5.36699416899
操之过急 -5.4827064052 -4.82292612464
加量 -5.4827064052 -4.58884291861
并入 -4.33657836953 -5.66802416465
加重 -4.52846389576 -4.96905416032
加里 -5.4827064052 -5.06596417333
首次 -3.1442499116 -3.59983830291
索赔案 -5.00558515048 -5.66802416465
首款 -4.44131372005 -5.66802416465
不碎 -5.4827064052 -5.36699416899
企因 -5.18167640954 -5.66802416465
故意 -4.88064641388 -4.58884291861
充满希望 -5.18167640954 -5.36699416899
泄愤 -5.4827064052 -4.66802416465
费周折 -5.4827064052 -5.19090290993
口彩 -5.18167640954 -5.66802416465
设计 -4.10249516349 -4.04477487426
隆重举行 -5.4827064052 -5.36699416899
令人厌恶 -5.4827064052 -5.19090290993
提普萨勒 -5.4827064052 -4.41275165955
被囚 -5.00558515048 -5.66802416465
中国地产 -4.44131372005 -5.66802416465
危机意识 -5.4827064052 -5.36699416899
哈威 -5.4827064052 -5.36699416899
速率 -5.18167640954 -5.66802416465
静候 -5.00558515048 -4.55408081235
授意 -5.4827064052 -4.76493417766
柳比西 -5.4827064052 -4.1239561203
威登 -5.4827064052 -4.463904182
激将法 -5.4827064052 -5.36699416899
分辨 -5.18167640954 -5.66802416465
飞鱼 -5.4827064052 -4.71378165522
冯胜 -5.4827064052 -5.06596417333
范例 -5.4827064052 -5.36699416899
股东会 -4.44131372005 -5.66802416465
赶超 -4.33657836953 -4.71378165522
齐齐发 -5.4827064052 -5.19090290993
被困 -4.70455515482 -5.66802416465
渣打 -4.3687630529 -5.66802416465
奈何 -5.00558515048 -4.76493417766
比武 -5.4827064052 -5.36699416899
再演 -5.4827064052 -3.81676581594
自制 -4.88064641388 -5.36699416899
泪人 -5.4827064052 -5.36699416899
构思 -5.18167640954 -5.66802416465
圣布 -5.4827064052 -4.88987291427
吃苦头 -5.00558515048 -5.19090290993
开锣 -5.18167640954 -4.82292612464
刘亚男 -5.4827064052 -4.58884291861
展翅飞翔 -5.4827064052 -5.19090290993
博文 -5.00558515048 -5.66802416465
输正 -4.88064641388 -5.66802416465
脊梁 -4.57961641821 -4.82292612464
报案 -5.00558515048 -5.66802416465
印矿 -5.00558515048 -5.66802416465
联发科 -5.00558515048 -5.66802416465
塑令 -3.70455515482 -5.66802416465
晶体 -5.00558515048 -5.66802416465
李霄鹏 -5.4827064052 -5.06596417333
冬特 -5.4827064052 -5.36699416899
地护球 -5.4827064052 -5.36699416899
丽珠集团 -3.90292280859 -5.66802416465
屏幕 -5.4827064052 -5.19090290993
夹式 -5.18167640954 -5.66802416465
承债 -5.18167640954 -5.66802416465
独树一帜 -5.4827064052 -5.36699416899
塞廷 -5.4827064052 -5.36699416899
维和 -5.18167640954 -5.66802416465
三毛 -5.00558515048 -4.82292612464
守口如瓶 -5.4827064052 -5.19090290993
失礼 -5.4827064052 -5.36699416899
逝者 -5.00558515048 -5.66802416465
蹦床 -5.4827064052 -5.36699416899
挂彩 -5.4827064052 -4.76493417766
体育院校 -5.4827064052 -5.36699416899
崇拜偶像 -5.4827064052 -5.36699416899
堵塞 -5.4827064052 -5.06596417333
姚麦 -5.4827064052 -4.11172166389
昭示 -5.4827064052 -4.11172166389
难奈 -5.4827064052 -4.1239561203
身后事 -5.18167640954 -5.66802416465
下决心 -5.00558515048 -5.36699416899
风生水 -5.4827064052 -5.36699416899
军心 -5.18167640954 -4.71378165522
翠湖 -4.78373640087 -5.66802416465
联防 -5.4827064052 -4.76493417766
入川 -4.70455515482 -5.66802416465
迟到 -4.88064641388 -4.82292612464
十局 -5.4827064052 -4.52189612898
机上 -4.78373640087 -5.66802416465
家中 -5.00558515048 -4.76493417766
试试 -5.4827064052 -4.4919329056
北京华 -5.18167640954 -5.66802416465
资讯 -4.08476639653 -4.96905416032
颜面 -5.4827064052 -4.463904182
机器设备 -5.18167640954 -5.66802416465
联队 -5.4827064052 -5.19090290993
易斯 -5.4827064052 -5.36699416899
崛起 -3.97755642688 -4.04477487426
受累 -4.12097856919 -5.19090290993
钛业 -4.63760836519 -5.66802416465
河西走廊 -4.88064641388 -5.66802416465
巴伦 -4.78373640087 -5.66802416465
富裕 -4.78373640087 -5.36699416899
杀敌 -5.4827064052 -4.66802416465
一语道破 -5.4827064052 -5.36699416899
升任 -5.4827064052 -5.36699416899
招手 -5.4827064052 -4.88987291427
国少队 -5.4827064052 -5.36699416899
窘境 -4.52846389576 -4.6266314795
转轮 -4.88064641388 -5.66802416465
转轨 -4.78373640087 -5.66802416465
美国能源部 -5.00558515048 -5.66802416465
争斗 -5.4827064052 -5.36699416899
颓势 -4.12097856919 -4.32560148383
招托 -5.4827064052 -5.36699416899
手机卡 -5.18167640954 -5.66802416465
洞争 -5.4827064052 -5.36699416899
湖南省 -5.00558515048 -5.66802416465
底气不足 -5.4827064052 -4.96905416032
成橙 -5.4827064052 -5.36699416899
建化 -4.63760836519 -5.66802416465
患有 -5.4827064052 -5.36699416899
预谋 -5.4827064052 -5.36699416899
目的 -4.63760836519 -4.43757524328
伊布誓 -5.4827064052 -5.36699416899
外管局 -4.25225748383 -5.66802416465
爱情故事 -5.4827064052 -5.19090290993
体育迷 -5.4827064052 -5.19090290993
重聚 -5.18167640954 -5.19090290993
猎鸽 -5.4827064052 -5.19090290993
高发期 -5.00558515048 -5.66802416465
令麦 -5.4827064052 -5.06596417333
加时 -5.4827064052 -4.71378165522
居亚 -5.4827064052 -5.36699416899
扣人心弦 -5.4827064052 -5.06596417333
忠告 -5.4827064052 -4.96905416032
郭炎 -5.4827064052 -5.36699416899
韩日 -5.4827064052 -5.19090290993
绿肥红瘦 -5.18167640954 -5.66802416465
形象大使 -5.4827064052 -5.19090290993
两瓶 -5.4827064052 -5.06596417333
地位 -3.82949389143 -4.01481165088
财产性 -5.00558515048 -5.66802416465
福方 -5.18167640954 -5.66802416465
发舞 -5.4827064052 -5.19090290993
完全 -3.92640390444 -3.81676581594
终可 -5.4827064052 -5.36699416899
繁忙 -5.4827064052 -5.36699416899
监事会 -3.28130928088 -5.66802416465
郑洁平 -5.4827064052 -5.36699416899
旅游景点 -5.18167640954 -5.66802416465
联邦调查局 -5.18167640954 -5.19090290993
减肥 -5.4827064052 -4.58884291861
终成 -5.00558515048 -4.6266314795
助布 -5.4827064052 -5.19090290993
收尾 -4.78373640087 -4.88987291427
前进 -4.52846389576 -4.20562616676
远航 -5.18167640954 -5.66802416465
愿用 -5.18167640954 -5.06596417333
挂牌 -3.36543510955 -5.06596417333
利尼谓 -5.4827064052 -5.19090290993
步态 -5.4827064052 -5.36699416899
周边环境 -5.18167640954 -5.66802416465
节目 -4.88064641388 -4.96905416032
锤炼 -5.4827064052 -4.88987291427
贯彻落实 -4.78373640087 -5.66802416465
日联 -5.4827064052 -5.36699416899
欲罢不能 -5.18167640954 -5.66802416465
保持良好 -5.18167640954 -5.36699416899
倒霉蛋 -5.4827064052 -5.19090290993
川妹 -5.4827064052 -4.08824056804
抹黑 -5.4827064052 -5.19090290993
亚库波 -5.4827064052 -5.36699416899
中卡 -5.4827064052 -3.7235414925
作秀 -5.18167640954 -4.43757524328
多国 -5.18167640954 -5.36699416899
超额利润 -5.00558515048 -5.66802416465
分回 -5.4827064052 -5.19090290993
脆弱 -4.78373640087 -5.66802416465
中印 -4.88064641388 -5.66802416465
财政收入 -4.52846389576 -5.66802416465
强壮 -5.4827064052 -4.96905416032
汇款 -4.78373640087 -5.66802416465
小女生 -5.4827064052 -4.6266314795
经验 -4.44131372005 -3.98678292728
中午 -5.18167640954 -5.66802416465
磅礴 -5.18167640954 -5.19090290993
中华 -4.03554837386 -5.19090290993
组第 -5.4827064052 -5.36699416899
协议 -3.38233586009 -5.36699416899
大变脸 -5.4827064052 -4.25305081668
从业者 -5.18167640954 -5.66802416465
俞炯 -5.4827064052 -5.19090290993
分国 -5.4827064052 -5.06596417333
黄飚 -5.4827064052 -4.88987291427
心迹 -5.4827064052 -5.19090290993
中南 -4.88064641388 -4.96905416032
岁时 -5.4827064052 -4.96905416032
现存 -5.00558515048 -5.66802416465
专利费 -4.63760836519 -5.66802416465
可享 -4.57961641821 -5.36699416899
大宁 -5.4827064052 -5.19090290993
清理 -4.20395280425 -4.71378165522
毛病 -5.4827064052 -4.96905416032
市场总监 -5.18167640954 -5.66802416465
赌球 -4.70455515482 -4.20562616676
人称 -5.4827064052 -5.19090290993
可争 -5.4827064052 -4.76493417766
雇员 -5.18167640954 -5.66802416465
五支 -5.4827064052 -5.06596417333
公权 -5.00558515048 -5.66802416465
争前 -5.4827064052 -5.36699416899
科成 -5.4827064052 -5.19090290993
把玩 -5.18167640954 -5.06596417333
交通管制 -5.00558515048 -5.19090290993
吃小灶 -5.4827064052 -5.19090290993
未可知 -5.18167640954 -5.66802416465
中行 -3.56362831283 -5.66802416465
瑜伽 -5.4827064052 -4.19090290993
立陶宛 -5.4827064052 -3.4693670777
股沽压 -5.00558515048 -5.66802416465
乘兴而来 -5.4827064052 -5.36699416899
发生爆炸 -5.00558515048 -5.66802416465
登车 -5.4827064052 -5.36699416899
有伤 -5.4827064052 -4.96905416032
索尔斯 -5.4827064052 -5.19090290993
达能 -4.12097856919 -5.66802416465
第四个 -4.88064641388 -5.06596417333
核能 -4.44131372005 -5.66802416465
帐户 -4.88064641388 -5.36699416899
看电视 -5.4827064052 -4.96905416032
商学院 -5.4827064052 -5.19090290993
齐威 -5.18167640954 -5.66802416465
紧锣密鼓 -5.4827064052 -5.36699416899
科研院所 -5.00558515048 -5.66802416465
划走 -5.18167640954 -5.66802416465
感言 -5.4827064052 -4.96905416032
张德江 -5.00558515048 -5.66802416465
五连阴 -5.00558515048 -5.66802416465
齐聚引 -5.4827064052 -5.19090290993
加湿器 -5.18167640954 -5.66802416465
内蒙 -4.25225748383 -5.66802416465
气候 -4.70455515482 -4.96905416032
足球 -5.00558515048 -2.87773900062
吊灯 -5.4827064052 -5.36699416899
广西大学 -5.4827064052 -5.19090290993
汇丰 -3.95122748816 -4.88987291427
锡业股份 -4.27858642255 -5.66802416465
禁批 -5.18167640954 -5.66802416465
鸭蛋 -5.4827064052 -3.75421031227
长三角 -3.97755642688 -5.66802416465
互捧 -5.4827064052 -5.36699416899
汇丽 -4.88064641388 -5.66802416465
鱼子酱 -5.18167640954 -5.66802416465
骑士 -5.4827064052 -4.36699416899
哈雷 -5.4827064052 -4.52189612898
电量 -5.00558515048 -5.66802416465
事出有因 -4.88064641388 -4.96905416032
普及率 -5.18167640954 -5.66802416465
葡捷 -5.4827064052 -4.88987291427
复星 -4.10249516349 -5.66802416465
汇理 -5.18167640954 -5.66802416465
签小 -5.4827064052 -5.06596417333
纸业 -3.39634657453 -5.66802416465
泰格 -5.00558515048 -5.66802416465
东北部 -5.18167640954 -5.66802416465
金钰 -5.00558515048 -5.66802416465
金钱 -5.18167640954 -4.76493417766
隐瞒 -4.30661514615 -5.66802416465
金钼 -4.63760836519 -5.66802416465
泰航 -5.18167640954 -5.66802416465
维森特 -5.4827064052 -4.88987291427
彩色 -5.4827064052 -5.06596417333
多面手 -5.4827064052 -4.71378165522
转会 -5.18167640954 -3.14688608095
黄金搭档 -5.4827064052 -4.58884291861
而至 -5.4827064052 -5.36699416899
并不需要 -5.4827064052 -5.36699416899
雄起 -4.63760836519 -4.4919329056
住宅建设 -5.18167640954 -5.66802416465
市场规律 -4.78373640087 -5.66802416465
良方 -4.78373640087 -5.66802416465
修通 -5.00558515048 -5.66802416465
法老王 -5.4827064052 -4.96905416032
婚车 -5.18167640954 -5.66802416465
星火燎原 -4.63760836519 -5.66802416465
阿迪 -5.4827064052 -4.43757524328
演变 -4.88064641388 -5.19090290993
华菱管线 -4.3687630529 -5.66802416465
存留 -5.4827064052 -5.19090290993
火盆 -5.4827064052 -5.36699416899
点金术 -5.18167640954 -5.66802416465
迪安 -5.4827064052 -5.36699416899
自联 -5.4827064052 -5.36699416899
净胜球 -5.4827064052 -5.36699416899
勘探 -4.70455515482 -5.66802416465
思潮 -5.00558515048 -5.66802416465
手拉手 -5.4827064052 -5.36699416899
浮躁 -5.4827064052 -5.36699416899
免战牌 -5.00558515048 -5.36699416899
比成 -5.4827064052 -5.19090290993
黯淡 -4.88064641388 -4.2366604005
大脚 -5.4827064052 -4.96905416032
力赞 -5.4827064052 -5.06596417333
野球 -5.4827064052 -5.36699416899
收盘价 -5.00558515048 -5.66802416465
保资 -4.78373640087 -5.66802416465
首例 -4.40352515916 -5.36699416899
有去无回 -5.4827064052 -5.36699416899
漏水 -5.4827064052 -5.36699416899
神气十足 -5.4827064052 -5.36699416899
开奖号码 -5.4827064052 -3.82292612464
滨江 -4.2274339001 -5.66802416465
例行 -4.88064641388 -5.66802416465
头等大事 -5.18167640954 -5.19090290993
德银 -4.10249516349 -5.66802416465
趋紧 -4.3687630529 -5.66802416465
信任危机 -5.00558515048 -5.06596417333
绵绵 -5.18167640954 -5.66802416465
采访 -4.70455515482 -3.4748995663
败笔 -4.88064641388 -4.22086613331
坏男孩 -5.4827064052 -4.41275165955
出脱 -5.18167640954 -5.66802416465
集资房 -5.18167640954 -5.66802416465
借势 -5.00558515048 -5.19090290993
发电量 -4.70455515482 -5.66802416465
国足全无 -5.4827064052 -5.36699416899
赶着 -5.4827064052 -5.36699416899
先进设备 -4.88064641388 -5.66802416465
国防部长 -5.4827064052 -5.19090290993
墓碑 -5.4827064052 -5.36699416899
击剑 -5.18167640954 -4.76493417766
意荷 -5.4827064052 -4.20562616676
双人 -5.4827064052 -3.72850491204
瓦解 -4.88064641388 -5.19090290993
借助 -4.63760836519 -5.06596417333
戏数 -5.4827064052 -5.19090290993
利多 -5.18167640954 -5.66802416465
情形 -5.18167640954 -5.66802416465
威达 -4.63760836519 -5.66802416465
混合经济 -5.18167640954 -5.66802416465
低潮 -5.00558515048 -5.06596417333
眺望 -5.18167640954 -4.96905416032
迈向 -4.70455515482 -5.66802416465
冶金 -5.18167640954 -5.19090290993
天狼星 -5.4827064052 -5.36699416899
略胜一筹 -5.4827064052 -5.19090290993
事件 -3.60764514181 -3.55743445436
奥晶 -5.18167640954 -5.66802416465
想想 -5.4827064052 -5.19090290993
论剑 -4.78373640087 -5.19090290993
谷歌 -3.97755642688 -5.66802416465
徐一钉 -5.18167640954 -5.66802416465
洞用 -5.4827064052 -5.36699416899
示范 -4.57961641821 -4.17666247082
追罚 -5.4827064052 -4.96905416032
赌死 -5.4827064052 -5.19090290993
战役 -5.4827064052 -4.00526633297
不及 -5.18167640954 -4.32560148383
于卡 -5.4827064052 -5.36699416899
不发 -5.4827064052 -5.36699416899
不受 -4.70455515482 -5.66802416465
俞正声 -5.00558515048 -5.66802416465
不变 -3.72683154953 -4.2366604005
纺企 -4.44131372005 -5.66802416465
趁火劫 -5.4827064052 -4.66802416465
凡间 -5.4827064052 -4.76493417766
强施 -5.18167640954 -5.66802416465
户内 -5.18167640954 -5.66802416465
白水泥 -5.00558515048 -5.66802416465
成涌 -4.88064641388 -5.66802416465
不可 -4.16048711047 -3.81676581594
中脉 -5.18167640954 -5.66802416465
宁德 -5.00558515048 -5.66802416465
制对 -5.4827064052 -5.19090290993
港务局 -5.00558515048 -5.66802416465
伦理 -5.4827064052 -5.19090290993
严重者 -5.18167640954 -5.66802416465
立足 -4.30661514615 -4.55408081235
发话 -5.4827064052 -5.36699416899
厉害 -5.4827064052 -4.88987291427
德土 -5.4827064052 -4.82292612464
横传 -5.4827064052 -4.76493417766
职责 -4.70455515482 -5.19090290993
可抗 -5.18167640954 -5.66802416465
甘贝里 -5.4827064052 -4.76493417766
全态 -5.4827064052 -4.71378165522
黑美人 -5.4827064052 -5.36699416899
袭扰 -5.4827064052 -5.06596417333
丰韵 -5.4827064052 -5.36699416899
光露 -5.4827064052 -4.71378165522
里斯 -5.18167640954 -5.19090290993
致谢 -5.4827064052 -4.82292612464
本意 -5.4827064052 -5.19090290993
输大 -4.88064641388 -5.66802416465
美色 -5.4827064052 -5.36699416899
整治 -4.2274339001 -5.66802416465
挥刀自宫 -5.4827064052 -5.19090290993
火辣 -5.4827064052 -4.06596417333
下一代 -4.78373640087 -5.06596417333
郎朗 -5.4827064052 -4.76493417766
可抵 -4.88064641388 -5.66802416465
各阶层 -5.18167640954 -5.66802416465
吸佳 -5.18167640954 -5.66802416465
商瑞华 -5.4827064052 -3.55743445436
李玮峰 -5.4827064052 -3.62270118587
田溯宁 -5.00558515048 -5.66802416465
企业 -2.62356810791 -5.19090290993
打包 -4.52846389576 -4.71378165522
鲁能新 -5.4827064052 -5.19090290993
咋种 -5.18167640954 -5.66802416465
加元 -4.70455515482 -5.66802416465
新生力量 -5.4827064052 -5.19090290993
满腹 -5.4827064052 -5.36699416899
胶片 -5.18167640954 -5.66802416465
起用 -5.18167640954 -5.66802416465
加兰 -5.4827064052 -5.19090290993
迟嵘 -5.4827064052 -5.19090290993
红筹 -5.00558515048 -5.66802416465
铲断 -5.4827064052 -4.88987291427
油保 -5.00558515048 -5.66802416465
费拉里 -5.4827064052 -5.36699416899
体味 -5.4827064052 -5.36699416899
收购价 -4.25225748383 -5.36699416899
加入 -3.77513622911 -4.66802416465
黄鹤楼 -5.4827064052 -4.88987291427
熟记 -5.4827064052 -5.36699416899
森林狼队 -5.4827064052 -5.06596417333
不合理 -4.40352515916 -5.66802416465
挖角 -4.70455515482 -4.28781292294
跨行业 -5.18167640954 -5.66802416465
白马股 -4.88064641388 -5.66802416465
高于 -4.14028372438 -5.66802416465
美西北 -4.88064641388 -5.66802416465
判刑 -5.00558515048 -5.36699416899
天佑 -5.18167640954 -5.06596417333
骗子 -5.18167640954 -4.96905416032
第四届 -4.57961641821 -5.36699416899
强制 -4.52846389576 -5.66802416465
欧盟 -3.50043517216 -4.96905416032
第四局 -5.4827064052 -5.19090290993
杜马 -5.4827064052 -5.36699416899
超次 -5.18167640954 -5.66802416465
天使 -4.70455515482 -3.79879244492
复式票 -5.4827064052 -5.36699416899
二奶 -5.4827064052 -5.19090290993
令法 -5.18167640954 -5.66802416465
高产 -4.57961641821 -5.06596417333
查实 -4.57961641821 -5.66802416465
郭晶晶 -5.4827064052 -3.77592956196
满面 -5.4827064052 -5.36699416899
